品牌,车型,价格,年份,里程,燃料类型,变速器,车辆类型,数据来源,所在城市,车龄,价格区间,里程区间,排量
本田,本田CR-V 2021款 240TURBO CVT两驱都市版,5.9,2021,59000,汽油,CVT,SUV,车168,北京,3,10万以下,5-10万公里,0.0
宝马,宝马1系 2021款 120i M运动曜夜版,4.3,2021,43000,汽油,自动,轿车,车168,北京,3,10万以下,3-5万公里,0.0
标致408,标致408 2022款 1.6T 追光版,1.0,2022,10000,汽油,自动,轿车,车168,北京,2,10万以下,1-3万公里,1.6
宝马,宝马X1 2021款 sDrive25Li 领先型,5.0,2021,50000,汽油,自动,SUV,车168,北京,3,10万以下,5-10万公里,0.0
英朗,英朗 2021款 改款 1.3T 自动轻混动精英型,3.9,2021,39000,混动,自动,轿车,车168,北京,3,10万以下,3-5万公里,1.3
锐际,锐际 2024款 EcoBoost 245 四驱纵享款ST-Line Pro,1.0,2024,10000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
君威,君威 2024款 25T 超享版,2.7,2024,27000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
冒险家,冒险家 2023款 2.0T 两驱尊雅版,3.5,2023,35000,汽油,自动,轿车,车168,北京,1,10万以下,3-5万公里,2.0
奔驰,奔驰C级 2024款 改款 C 260 L 运动版,0.6,2024,5800,汽油,自动,轿车,车168,北京,0,10万以下,1万公里以下,0.0
凯迪拉克,凯迪拉克CT4 2020款 28T 精英型,5.5,2020,55000,汽油,自动,轿车,车168,北京,4,10万以下,5-10万公里,0.0
凯迪拉克,凯迪拉克CT4 2021款 28T 豪华型,5.9,2021,59000,汽油,自动,轿车,车168,北京,3,10万以下,5-10万公里,0.0
奔驰,奔驰E级 2023款 E 260 L,2.9,2023,29000,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,0.0
领克,领克01 2023款 2.0TD 两驱亚运版,1.3,2023,13000,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,2.0
沃尔沃,沃尔沃XC60 2024款 B5 四驱智远豪华版,3.3,2024,33000,汽油,自动,SUV,车168,北京,0,10万以下,3-5万公里,0.0
标致408X,标致408X 2023款 魅力版,1.3,2023,13000,汽油,自动,SUV,车168,北京,1,10万以下,1-3万公里,0.0
奥迪,奥迪A3 2023款 改款 Sportback 35 TFSI 时尚运动型,2.1,2023,20800,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,0.0
奥迪,奥迪Q3 Sportback 2023款 45 TFSI quattro 时尚型,3.3,2023,32900,汽油,自动,SUV,车168,北京,1,10万以下,3-5万公里,0.0
奥迪,奥迪A3 2023款 A3L Limousine 35 TFSI 进取运动型,2.2,2023,22000,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,3.0
揽境,揽境 2021款 530TSI 四驱旗舰胜境版Pro,5.4,2021,54000,汽油,自动,轿车,车168,北京,3,10万以下,5-10万公里,0.0
迈腾,迈腾 2020款 330TSI DSG 领先型,4.5,2020,45000,汽油,自动,轿车,车168,北京,4,10万以下,3-5万公里,0.0
标致408X,标致408X 2023款 无界版,1.5,2023,15000,汽油,自动,SUV,车168,北京,1,10万以下,1-3万公里,0.0
大众,一汽-大众CC 2023款 380TSI 夺目版,1.7,2023,17000,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,0.0
大众,一汽-大众CC 2023款 猎装车 380TSI 猎心版,3.6,2023,36000,汽油,自动,轿车,车168,北京,1,10万以下,3-5万公里,0.0
探岳,探岳 2023款 380TSI 四驱R-Line Pro智慧版,2.8,2023,28000,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,0.0
T-ROC探歌,T-ROC探歌 2024款 300TSI DSG两驱辰光版,2.3,2024,23000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
速腾,速腾 2020款 200TSI DSG舒适型 国VI,2.6,2020,25700,汽油,自动,轿车,车168,北京,4,10万以下,1-3万公里,0.0
蒙迪欧,蒙迪欧 2023款 EcoBoost 245 至尊型,0.2,2023,2000,汽油,自动,轿车,车168,北京,1,10万以下,1万公里以下,0.0
长安,长安UNI-V 2024款 1.5T 尊贵运动型,0.6,2024,6000,汽油,自动,轿车,车168,北京,0,10万以下,1万公里以下,1.5
星越L,星越L 2023款 2.0TD 高功自动两驱旗舰型,2.6,2023,26000,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,2.0
MINI,MINI 2021款 1.5T COOPER 经典派,3.0,2021,30000,汽油,自动,轿车,车168,北京,3,10万以下,3-5万公里,1.5
MINI,MINI 2023款 改款 2.0T COOPER S CABRIO 艺术家,3.0,2023,30000,汽油,自动,轿车,车168,北京,1,10万以下,3-5万公里,2.0
昂科拉GX,昂科拉GX 2022款 332T CVT两驱豪华型,1.4,2022,14000,汽油,CVT,SUV,车168,北京,2,10万以下,1-3万公里,0.0
天籁,天籁 2021款 2.0L XL 舒适版,3.2,2021,32000,汽油,自动,SUV,车168,北京,3,10万以下,3-5万公里,2.0
君越,君越 2020款 652T 豪华型,4.2,2020,42000,汽油,自动,轿车,车168,北京,4,10万以下,3-5万公里,0.0
蒙迪欧,蒙迪欧 2023款 EcoBoost 180 豪华型,2.1,2023,21000,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,0.0
奕泽IZOA,奕泽IZOA 2020款 2.0L 奕享版,3.1,2020,31000,汽油,自动,轿车,车168,北京,4,10万以下,3-5万公里,2.0
骐达TIIDA,骐达TIIDA 2021款 1.6L CVT酷动版,0.7,2021,6800,汽油,CVT,轿车,车168,北京,3,10万以下,1万公里以下,1.6
世纪,世纪 2023款 2.0T 四座私享版,4.8,2023,48000,汽油,自动,轿车,车168,北京,1,10万以下,3-5万公里,2.0
沃尔沃,沃尔沃S90 2021款 B5 智远豪华版,4.4,2021,44000,汽油,自动,轿车,车168,北京,3,10万以下,3-5万公里,0.0
MINI,MINI 2023款 1.5T ONE,0.9,2023,9000,汽油,自动,轿车,车168,北京,1,10万以下,1万公里以下,1.5
深蓝S07,深蓝S07 2024款 215Max 乾��智驾ADS SE增程版,1.0,2024,10000,汽油,自动,SUV,车168,北京,0,10万以下,1-3万公里,0.0
海豹06GT,海豹06GT 2025款 智驾版 605热浪版,0.8,2025,8500,汽油,自动,轿车,车168,北京,-1,10万以下,1万公里以下,0.0
凯迪拉克,凯迪拉克XT5 2021款 28T 豪华型,4.2,2021,42000,汽油,自动,SUV,车168,北京,3,10万以下,3-5万公里,0.0
大众,一汽-大众CC 2024款 380TSI 夺目版,1.9,2024,19000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
大众,一汽-大众CC 2021款 380TSI 夺目版,5.7,2021,57000,汽油,自动,轿车,车168,北京,3,10万以下,5-10万公里,0.0
哈弗H6,哈弗H6 2021款 第三代 1.5T 自动两驱Max,2.4,2021,24000,汽油,自动,SUV,车168,北京,3,10万以下,1-3万公里,1.5
宝马,宝马3系 2021款 改款 325Li M运动曜夜套装,6.5,2021,65000,汽油,自动,轿车,车168,北京,3,10万以下,5-10万公里,0.0
领克,领克06 2020款 1.5T 耀Halo,3.0,2020,29600,汽油,自动,轿车,车168,北京,4,10万以下,1-3万公里,1.5
星越L,星越L 2021款 2.0TD DCT EVO两驱尊贵型,1.8,2021,18000,电动,双离合,轿车,车168,北京,3,10万以下,1-3万公里,2.0
哈弗H6,哈弗H6 2021款 第三代 2.0T 自动两驱Max,3.5,2021,35000,汽油,自动,SUV,车168,北京,3,10万以下,3-5万公里,2.0
奥迪,奥迪A3 2021款 Sportback 35 TFSI 时尚运动型,2.8,2021,28000,汽油,自动,轿车,车168,北京,3,10万以下,1-3万公里,0.0
Model,Model Y 2022款 后轮驱动版,3.9,2022,39000,汽油,自动,轿车,车168,北京,2,10万以下,3-5万公里,0.0
长安,长安UNI-Z 2025款 1.5T 尊贵型,0.8,2025,8000,汽油,自动,轿车,车168,北京,-1,10万以下,1万公里以下,1.5
红旗,红旗HS5 2022款 2.0T 智联旗享版,1.7,2022,17000,汽油,自动,轿车,车168,北京,2,10万以下,1-3万公里,2.0
长安,长安UNI-T 2023款 第二代 1.5T 尊贵型,1.8,2023,18000,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,1.5
长安,长安UNI-V 2022款 1.5T 运动版,2.1,2022,21000,汽油,自动,轿车,车168,北京,2,10万以下,1-3万公里,1.5
传祺,传祺M8 2023款 领秀系列 390T 尊贵版,3.0,2023,30000,汽油,自动,轿车,车168,北京,1,10万以下,3-5万公里,0.0
MINI,MINI 2021款 1.5T COOPER 艺术家 五门版,2.3,2021,23000,汽油,自动,轿车,车168,北京,3,10万以下,1-3万公里,1.5
哈弗枭龙MAX,哈弗枭龙MAX 2023款 1.5L Hi4 105 四驱领航版,3.8,2023,37500,汽油,自动,SUV,车168,北京,1,10万以下,3-5万公里,1.5
海豚,海豚 2025款 420km 时尚版,0.5,2025,5000,汽油,自动,轿车,车168,北京,-1,10万以下,1万公里以下,0.0
领克,领克03 2020款 1.5TD DCT劲Pro版,6.1,2020,61000,汽油,双离合,轿车,车168,北京,4,10万以下,5-10万公里,1.5
领克,领克06 2023款 Remix 1.5T Shero,1.4,2023,14000,汽油,自动,SUV,车168,北京,1,10万以下,1-3万公里,1.5
领克,领克06 2023款 Remix 1.5T 劲Pro,3.8,2023,38000,汽油,自动,SUV,车168,北京,1,10万以下,3-5万公里,1.5
宝马,宝马5系(进口) 2022款 530i 风尚版 M运动套装,4.1,2022,41000,汽油,自动,轿车,车168,北京,2,10万以下,3-5万公里,0.0
奥迪,奥迪A3 2022款 Sportback 35 TFSI 豪华运动型,3.2,2022,32000,汽油,自动,轿车,车168,北京,2,10万以下,3-5万公里,0.0
英菲尼迪,英菲尼迪Q50L 2018款 2.0T 逸享版 国VI,5.3,2018,53000,汽油,自动,SUV,车168,北京,6,10万以下,5-10万公里,0.0
奔驰,奔驰GLC 2018款 GLC 260 4MATIC 豪华型,6.7,2018,67000,汽油,自动,SUV,车168,北京,6,10万以下,5-10万公里,0.0
领克,领克02 2019款 高能版 2.0T 自动两驱耀Pro版 国VI,4.5,2019,45000,汽油,自动,轿车,车168,北京,5,10万以下,3-5万公里,2.0
捷豹,捷豹F-PACE 2020款 300-Sport运动版,4.6,2020,46000,汽油,自动,轿车,车168,北京,4,10万以下,3-5万公里,0.0
福克斯,福克斯 2022款 三厢 EcoBoost 180 自动竞速版,3.0,2022,30000,汽油,自动,轿车,车168,北京,2,10万以下,3-5万公里,0.0
奔驰,奔驰A级AMG(进口) 2020款 改款 AMG A 35 4MATIC,2.8,2020,28000,汽油,自动,轿车,车168,北京,4,10万以下,1-3万公里,0.0
凯迪拉克,凯迪拉克CT5 2022款 28T 尊贵型,3.8,2022,38000,汽油,自动,轿车,车168,北京,2,10万以下,3-5万公里,0.0
宝马,宝马X2 2021款 sDrive25i M运动套装,5.5,2021,55000,汽油,自动,SUV,车168,北京,3,10万以下,5-10万公里,0.0
奔驰,奔驰A级 2023款 A 200 L 时尚型,1.0,2023,10500,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,0.0
凯迪拉克,凯迪拉克CT5 2021款 28T 尊贵型,5.9,2021,59000,汽油,自动,轿车,车168,北京,3,10万以下,5-10万公里,0.0
宝马,宝马3系GT 2020款 320i M运动套装,4.2,2020,42000,汽油,自动,轿车,车168,北京,4,10万以下,3-5万公里,0.0
宝马,宝马3系GT 2020款 320i M运动套装,5.4,2020,54500,汽油,自动,轿车,车168,北京,4,10万以下,5-10万公里,0.0
大众,一汽-大众CC 2024款 380TSI 夺目版,0.2,2024,1700,汽油,自动,轿车,车168,北京,0,10万以下,1万公里以下,0.0
雅阁,雅阁 2024款 260TURBO 豪华版,0.9,2024,9000,汽油,自动,轿车,车168,北京,0,10万以下,1万公里以下,0.0
AION,AION V 2024款 埃安霸王龙 650 激光雷达版,1.6,2024,16000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
红旗,红旗HS3 2023款 1.5T 两驱善为版,1.1,2023,11000,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,1.5
长安,长安欧尚X5 2021款 1.5T DCT尊贵型,4.8,2021,48000,汽油,双离合,SUV,车168,北京,3,10万以下,3-5万公里,1.5
领克,领克03 2023款 2.0TD DCT劲Halo,2.4,2023,24000,汽油,双离合,轿车,车168,北京,1,10万以下,1-3万公里,2.0
宝马,宝马1系 2022款 120i M运动曜夜版,1.3,2022,12900,汽油,自动,轿车,车168,北京,2,10万以下,1-3万公里,0.0
宝马,宝马X3 2020款  xDrive28i M运动套装,3.0,2020,30000,汽油,自动,SUV,车168,北京,4,10万以下,3-5万公里,0.0
奔驰,奔驰GLC 2020款 GLC 300 L 4MATIC 动感型,7.1,2020,71000,汽油,自动,SUV,车168,北京,4,10万以下,5-10万公里,0.0
奔驰,奔驰E级 2019款 E 300 L 时尚型,9.2,2019,92000,汽油,自动,轿车,车168,北京,5,10万以下,5-10万公里,0.0
揽胜,揽胜 2019款 3.0 SCV6 传世版,7.0,2019,70000,汽油,自动,轿车,车168,北京,5,10万以下,5-10万公里,0.0
奔驰,奔驰GLA 2018款 GLA 200 时尚型,5.0,2018,50000,汽油,自动,SUV,车168,北京,6,10万以下,5-10万公里,0.0
Macan,Macan 2017款  Macan S 3.0T,8.2,2017,82000,汽油,自动,轿车,车168,北京,7,10万以下,5-10万公里,3.0
奔驰,奔驰GLC 2019款 GLC 260 4MATIC 豪华型,5.6,2019,56000,汽油,自动,SUV,车168,北京,5,10万以下,5-10万公里,0.0
途昂,途昂 2019款 380TSI 四驱豪华版 国VI,6.5,2019,65000,汽油,自动,轿车,车168,北京,5,10万以下,5-10万公里,0.0
奔驰,奔驰GLC 2016款 GLC 260 4MATIC 豪华型,8.8,2016,88010,汽油,自动,SUV,车168,北京,8,10万以下,5-10万公里,0.0
普拉多,普拉多 2016款 3.5L 自动TX-L,10.0,2016,100000,汽油,自动,SUV,车168,北京,8,10-20万,10万公里以上,3.5
奔驰,奔驰C级 2019款 改款 C 260 L 运动版,8.2,2019,81500,汽油,自动,轿车,车168,北京,5,10万以下,5-10万公里,0.0
宝马,宝马7系 2018款 750Li xDrive M运动套装,3.1,2018,31000,汽油,自动,SUV,车168,北京,6,10万以下,3-5万公里,0.0
英菲尼迪,英菲尼迪Q60 2017款 S 2.0T 豪华运动版,5.6,2017,56000,汽油,自动,SUV,车168,北京,7,10万以下,5-10万公里,2.0
揽胜星脉,揽胜星脉 2024款 Dynamic SE,0.6,2024,6000,汽油,自动,轿车,车168,北京,0,10万以下,1万公里以下,0.0
奥迪,奥迪Q7 2023款 55 TFSI quattro S line运动型,3.8,2023,38000,汽油,自动,SUV,车168,北京,1,10万以下,3-5万公里,0.0
奔驰,奔驰A级 2022款 A 200 L 运动轿车时尚型,1.5,2022,15000,汽油,自动,轿车,车168,北京,2,10万以下,1-3万公里,0.0
奥迪,奥迪Q7 2023款 45 TFSI quattro S line运动型,2.5,2023,25000,汽油,自动,SUV,车168,北京,1,10万以下,1-3万公里,0.0
牧马人,牧马人 2024款 2.0T 撒哈拉四门版,1.1,2024,11000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,2.0
蔚来,蔚来EC6 2023款 75kWh,4.4,2023,44000,电动,自动,轿车,车168,北京,1,10万以下,3-5万公里,0.0
奔驰,奔驰GLC 2025款 改款 GLC 260 L 4MATIC 动感型,0.2,2025,2000,汽油,自动,SUV,车168,北京,-1,10万以下,1万公里以下,0.0
宝马,宝马X7 2023款 xDrive40i 尊享型豪华套装,7.9,2023,79000,汽油,自动,SUV,车168,北京,1,10万以下,5-10万公里,0.0
奥迪,奥迪Q7 2024款 45 TFSI quattro S line运动型,0.4,2024,4000,汽油,自动,SUV,车168,北京,0,10万以下,1万公里以下,0.0
宝马,宝马M3 2023款 M3四门轿车 M xDrive 雷霆版,1.3,2023,13000,汽油,自动,SUV,车168,北京,1,10万以下,1-3万公里,0.0
奥迪,奥迪A8 2022款 A8L Horch创始人版 双色典藏型,0.5,2022,5000,汽油,自动,轿车,车168,北京,2,10万以下,1万公里以下,8.0
宝马,宝马X5 2023款 xDrive 30Li 尊享型M运动曜夜套装,3.0,2023,30000,汽油,自动,SUV,车168,北京,1,10万以下,3-5万公里,0.0
沃尔沃,沃尔沃XC60 2024款 B5 四驱智远豪华版,0.5,2024,5000,汽油,自动,SUV,车168,北京,0,10万以下,1万公里以下,0.0
沃尔沃,沃尔沃S90插电式混动 2020款 T8 E驱混动 智逸豪华版,6.7,2020,67000,电动,自动,轿车,车168,北京,4,10万以下,5-10万公里,0.0
奔驰,奔驰GLC 2024款 GLC 300 L 4MATIC 动感型 5座,1.7,2024,17000,汽油,自动,SUV,车168,北京,0,10万以下,1-3万公里,0.0
Macan,Macan 2022款 Macan 2.0T,3.5,2022,35000,汽油,自动,轿车,车168,北京,2,10万以下,3-5万公里,2.0
路虎,路虎卫士 2024款 110 3.0T P400 X-DYNAMIC HSE,3.0,2024,30000,汽油,自动,SUV,车168,北京,0,10万以下,3-5万公里,3.0
奔驰,奔驰S级 2022款 S 450 L 4MATIC,2.2,2022,22000,汽油,自动,轿车,车168,北京,2,10万以下,1-3万公里,0.0
奥迪,奥迪A8 2023款 A8L 50 TFSI quattro 臻选型,4.0,2023,39800,汽油,自动,SUV,车168,北京,1,10万以下,3-5万公里,8.0
发现,发现 2024款 360PS S,1.8,2024,18000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
SIENNA,SIENNA 2019款 3.5L 美规版,6.8,2019,68000,汽油,自动,MPV,车168,北京,5,10万以下,5-10万公里,3.5
奔驰,奔驰GLE 2024款 改款 GLE 350 4MATIC 时尚型,1.4,2024,14000,汽油,自动,SUV,车168,北京,0,10万以下,1-3万公里,0.0
奥迪,奥迪A8 2019款 改款 Plus A8L 50 TFSI quattro 舒适型,6.2,2019,62000,汽油,自动,SUV,车168,北京,5,10万以下,5-10万公里,8.0
奔驰,奔驰S级 2023款 S 450 L 4MATIC,2.6,2023,26000,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,0.0
奔驰,奔驰GLS 2020款 GLS 450 4MATIC 豪华型,7.1,2020,71000,汽油,自动,SUV,车168,北京,4,10万以下,5-10万公里,0.0
大众,一汽-大众CC 2024款 猎装车 380TSI 猎心 众享款,0.8,2024,8000,汽油,自动,轿车,车168,北京,0,10万以下,1万公里以下,0.0
奔驰,奔驰GLC 2023款 GLC 260 L 4MATIC 豪华型 5座,0.7,2023,7000,汽油,自动,SUV,车168,北京,1,10万以下,1万公里以下,0.0
路虎,路虎卫士 2024款 110 3.0T P400 X-DYNAMIC HSE,0.9,2024,9000,汽油,自动,SUV,车168,北京,0,10万以下,1万公里以下,3.0
蔚来,蔚来ES8 2020款 415KM 七座版,6.5,2020,65000,电动,自动,轿车,车168,北京,4,10万以下,5-10万公里,0.0
迈巴赫S级,迈巴赫S级 2023款 S 480 4MATIC,3.7,2023,37000,汽油,自动,轿车,车168,北京,1,10万以下,3-5万公里,0.0
奔驰,奔驰E级 2025款 改款 E 300 L 豪华型,0.7,2025,7000,汽油,自动,轿车,车168,北京,-1,10万以下,1万公里以下,0.0
揽胜运动,揽胜运动 2024款 400PS Dynamic SE,2.3,2024,22599,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
奥迪,奥迪A5(进口) 2024款 Sportback 40 TFSI 时尚动感型,1.9,2024,19000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
兰德酷路泽(进口),兰德酷路泽(进口) 2016款 4.0L 中东版,9.5,2016,95000,汽油,自动,轿车,车168,北京,8,10万以下,5-10万公里,4.0
宝马,宝马3系 2022款 改款 325i M运动曜夜套装,7.0,2022,70000,汽油,自动,轿车,车168,北京,2,10万以下,5-10万公里,0.0
奥迪,奥迪A5(进口) 2023款 Cabriolet 40 TFSI 时尚动感型,3.6,2023,36000,汽油,自动,轿车,车168,北京,1,10万以下,3-5万公里,0.0
Panamera,Panamera 2021款 Panamera 行政加长版 2.9T,7.6,2021,76000,汽油,自动,轿车,车168,北京,3,10万以下,5-10万公里,2.9
雷克萨斯,雷克萨斯GX 2022款 460 美规版,2.0,2022,20400,汽油,自动,SUV,车168,北京,2,10万以下,1-3万公里,0.0
宝马,宝马X6 2023款 xDrive30i M运动套装,1.5,2023,15000,汽油,自动,SUV,车168,北京,1,10万以下,1-3万公里,0.0
宝马,宝马X6 2023款 xDrive40i M运动套装,2.0,2023,20000,汽油,自动,SUV,车168,北京,1,10万以下,1-3万公里,0.0
奔驰,奔驰GLB 2023款 GLB 200 动感型,2.5,2023,25000,汽油,自动,SUV,车168,北京,1,10万以下,1-3万公里,0.0
Panamera,Panamera 2019款 Panamera 2.9T,4.9,2019,49000,汽油,自动,轿车,车168,北京,5,10万以下,3-5万公里,2.9
奔驰,奔驰C级 2016款 C 200 运动版 4MATIC,3.7,2016,37000,汽油,自动,轿车,车168,北京,8,10万以下,3-5万公里,0.0
威霆,威霆 2016款 2.0T 精英版,5.5,2016,55000,汽油,自动,轿车,车168,北京,8,10万以下,5-10万公里,2.0
揽胜星脉,揽胜星脉 2017款 P380 R-DYNAMIC SE,8.0,2017,80000,汽油,自动,轿车,车168,北京,7,10万以下,5-10万公里,0.0
途锐,途锐 2019款 2.0TSI 锐翼版 国VI,6.1,2019,61000,汽油,自动,轿车,车168,北京,5,10万以下,5-10万公里,2.0
揽胜极光,揽胜极光 2015款 2.0T 五门智耀版,9.3,2015,93000,汽油,自动,轿车,车168,北京,9,10万以下,5-10万公里,2.0
Panamera,Panamera 2017款 Panamera 4 行政加长版 3.0T,5.5,2017,55000,汽油,自动,轿车,车168,北京,7,10万以下,5-10万公里,3.0
迈巴赫S级,迈巴赫S级 2016款 S 400 4MATIC,5.6,2016,56000,汽油,自动,轿车,车168,北京,8,10万以下,5-10万公里,0.0
宝马,宝马X3 2021款 xDrive30i 领先型 M运动套装,3.8,2021,38000,汽油,自动,SUV,车168,北京,3,10万以下,3-5万公里,0.0
理想,理想MEGA 2024款 Ultra,1.9,2024,19000,电动,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
享界S9,享界S9 2024款 纯电 Ultra 四驱旗舰版,0.8,2024,8000,电动,自动,轿车,车168,北京,0,10万以下,1万公里以下,0.0
享界S9,享界S9 2025款 增程 Ultra,0.1,2025,1000,汽油,自动,轿车,车168,北京,-1,10万以下,1万公里以下,0.0
领克,领克900 2025款 1.5T Ultra,0.9,2025,9000,汽油,自动,轿车,车168,北京,-1,10万以下,1万公里以下,1.5
享界S9,享界S9 2025款 增程 Ultra,0.5,2025,5000,汽油,自动,轿车,车168,北京,-1,10万以下,1万公里以下,0.0
享界S9,享界S9 2025款 增程 Max+,0.9,2025,9000,汽油,自动,SUV,车168,北京,-1,10万以下,1万公里以下,0.0
坦克700新能源,坦克700新能源 2024款 Hi4-T 极境版,2.3,2024,23000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
问界M9,问界M9 2025款 增程 Ultra版 52kWh 6座版,1.8,2025,18000,汽油,自动,轿车,车168,北京,-1,10万以下,1-3万公里,0.0
岚图,岚图梦想家 2025款 EV 四驱尊贵鲲鹏版,1.8,2025,17500,电动,自动,轿车,车168,北京,-1,10万以下,1-3万公里,0.0
理想,理想L8 2023款 Pro,2.0,2023,20000,电动,自动,轿车,车168,北京,1,10万以下,1-3万公里,0.0
Model,Model X 2023款 三电机全轮驱动 Plaid版,4.0,2023,39500,电动,自动,SUV,车168,北京,1,10万以下,3-5万公里,0.0
奔驰,奔驰E级 2022款 E 260 L,3.9,2022,39000,汽油,自动,轿车,车168,北京,2,10万以下,3-5万公里,0.0
理想,理想L7 2024款 Pro,2.7,2024,27000,电动,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
蔚来,蔚来ES6 2023款 75kWh,4.4,2023,44500,电动,自动,轿车,车168,北京,1,10万以下,3-5万公里,0.0
Model,Model Y 2023款 后轮驱动版,1.8,2023,17800,汽油,自动,轿车,车168,北京,1,10万以下,1-3万公里,0.0
宝马,宝马X5 2022款 改款 xDrive 40Li M运动套装,4.7,2022,47000,汽油,自动,SUV,车168,北京,2,10万以下,3-5万公里,0.0
奔驰,奔驰GLS 2021款 改款 GLS 450 4MATIC 时尚型,4.7,2021,47000,汽油,自动,SUV,车168,北京,3,10万以下,3-5万公里,0.0
理想,理想L9 2023款 Pro,1.9,2023,19000,电动,自动,轿车,车168,北京,1,10万以下,1-3万公里,0.0
红旗,红旗H9 2024款 2.0T 旗享 私享风尚版,0.3,2024,3200,汽油,自动,轿车,车168,北京,0,10万以下,1万公里以下,2.0
奔驰,奔驰GLB 2024款 GLB 220 动感型,2.2,2024,22000,汽油,自动,SUV,车168,北京,0,10万以下,1-3万公里,0.0
发现运动,发现运动 2021款 249PS R-Dynamic S 性能版,6.5,2021,65000,汽油,自动,轿车,车168,北京,3,10万以下,5-10万公里,0.0
Model,Model X 2019款 标准续航版,3.7,2019,37000,汽油,自动,SUV,车168,北京,5,10万以下,3-5万公里,0.0
凯迪拉克,凯迪拉克XT4 2021款 28T 两驱豪华型,6.6,2021,66000,汽油,自动,SUV,车168,北京,3,10万以下,5-10万公里,0.0
宝马,宝马8系 2019款 840i xDrive 四门轿跑车 M运动套装,6.2,2019,62000,汽油,自动,SUV,车168,北京,5,10万以下,5-10万公里,0.0
别克,别克GL8 2022款 ES陆尊 653T 舒适型,7.4,2022,74000,汽油,自动,SUV,车168,北京,2,10万以下,5-10万公里,0.0
捷豹,捷豹XFL 2024款 2.0T P250 两驱尊享豪华版,0.1,2024,1200,汽油,自动,SUV,车168,北京,0,10万以下,1万公里以下,2.0
别克,别克GL8 2020款 ES陆尊 653T 豪华型,7.9,2020,79300,汽油,自动,SUV,车168,北京,4,10万以下,5-10万公里,0.0
奔驰,奔驰EQE 2022款 350 先型特别版,3.6,2022,36000,汽油,自动,SUV,车168,北京,2,10万以下,3-5万公里,0.0
Cayenne新能源,Cayenne新能源 2022款 Cayenne E-Hybrid 2.0T 铂金版,1.4,2022,14100,汽油,自动,轿车,车168,北京,2,10万以下,1-3万公里,2.0
Cayenne新能源,Cayenne新能源 2021款 Cayenne E-Hybrid 2.0T,7.8,2021,78000,汽油,自动,轿车,车168,北京,3,10万以下,5-10万公里,2.0
宝马,宝马X1 2023款 xDrive25Li X设计套装,0.7,2023,7000,汽油,自动,SUV,车168,北京,1,10万以下,1万公里以下,0.0
宝马,宝马X5 2022款 改款 xDrive 40Li M运动套装,2.3,2022,23000,汽油,自动,SUV,车168,北京,2,10万以下,1-3万公里,0.0
沃尔沃,沃尔沃XC60 2025款 B5 四驱智远豪华版,0.5,2025,4900,汽油,自动,SUV,车168,北京,-1,10万以下,1万公里以下,0.0
宝马,宝马3系 2024款 325Li M运动套装,1.2,2024,12000,汽油,自动,轿车,车168,北京,0,10万以下,1-3万公里,0.0
哈弗猛龙新能源,哈弗猛龙新能源 2023款 Hi4 145 探索版,0.8,2023,8000,汽油,自动,轿车,车168,北京,1,10万以下,1万公里以下,0.0
奔驰,奔驰C级 2023款 C 260 L 运动版,3.0,2023,30000,汽油,自动,轿车,车168,北京,1,10万以下,3-5万公里,0.0
宝马,宝马iX3 2023款 创领型,1.1,2023,10700,汽油,自动,SUV,车168,北京,1,10万以下,1-3万公里,0.0
宝马,宝马X1 2024款 sDrive25Li X设计套装,0.6,2024,6200,汽油,自动,SUV,车168,北京,0,10万以下,1万公里以下,0.0
凯迪拉克,凯迪拉克XT4 2024款 28T 两驱尊贵型,0.9,2024,9000,汽油,自动,SUV,车168,北京,0,10万以下,1万公里以下,0.0
宝马,宝马3系 2024款 325Li M运动曜夜套装,0.7,2024,6800,汽油,自动,轿车,车168,北京,0,10万以下,1万公里以下,0.0
